no,stage,x,y,z,tbxta,sox2,thbs2,id3
1,18ss,133.64,108.228,-7.85158,3.81984,10.0091,3.26906,2.60511
1,18ss,129.014,107.919,-6.70363,3.32882,8.93105,3.35034,1.98845
1,18ss,124.455,109.664,-6.14062,3.44972,8.69519,3.19313,2.35336
1,18ss,131.793,96.7307,-5.40467,2.54572,7.42027,3.01294,2.66701
1,18ss,143.364,108.811,-5.34027,4.2668,9.37601,3.40254,3.45893
1,18ss,120.749,97.6442,-5.06784,3.50911,7.57049,3.5122,3.09089
1,18ss,125.878,96.5677,-4.60556,3.60737,7.84733,2.99319,2.58679
1,18ss,139.197,116.831,-4.16751,2.95585,15.9856,3.47255,8.54449
1,18ss,135.745,119.614,-3.34025,2.52612,15.8651,4.02405,5.40481
1,18ss,137.875,108.785,-3.18484,2.69125,9.3248,3.44052,2.94311
1,18ss,122.903,113.242,-2.85129,3.19392,9.78734,3.68315,3.48917
1,18ss,145.207,97.2802,-3.285,2.83817,7.94653,3.36896,2.9174
1,18ss,132.223,111.301,-2.06481,3.80305,9.78989,3.51192,2.24207
1,18ss,143.505,118.344,-1.9468,2.82853,15.4691,3.71245,4.56292
1,18ss,164.343,95.9156,-8.51083,3.03,6.89188,3.12223,3.63225
1,18ss,164.217,109.25,-9.49529,6.43839,15.7532,2.91168,8.52612
1,18ss,149.477,109.614,-6.95155,10.8829,14.5593,3.41458,10.4925
1,18ss,161.791,100.475,-6.62211,4.31348,8.91042,3.07845,6.63097
1,18ss,170.212,102.332,-5.90377,7.95647,13.1338,3.58545,7.4251
1,18ss,160.809,116.492,-6.72002,3.25117,13.3336,3.63323,4.12847
1,18ss,150.215,98.52,-6.1992,3.17771,7.37102,3.15575,2.9659
1,18ss,158.524,111.119,-5.70835,4.72029,17.8965,4.23708,5.45266
1,18ss,158.758,105.245,-4.78249,7.38255,18.5725,3.58231,9.21055
1,18ss,146.01,114.155,-4.03942,6.28205,19.7397,4.61178,14.9816
1,18ss,152.423,113.65,-4.01136,6.33355,18.2916,3.98731,9.62599
1,18ss,181.791,97.2631,-7.92855,2.18039,6.78337,3.86012,2.44192
1,18ss,171.537,106.29,-3.68491,3.56469,10.0869,3.32462,2.91137
1,18ss,116.978,127.066,-9.54428,1.58256,14.0484,3.84689,2.24316
1,18ss,99.2815,130.637,-8.52549,1.62576,15.9368,3.66646,1.46752
