no,stage,x,y,z,TCF_mRNA_levels,sox2,tbxta
1,18ss,114.767,165.916,231.25,4.26642,2.82847,2.0438
1,18ss,112.268,166.848,231.262,3.6128,2.83537,2.73628
1,18ss,98.7194,165.465,233.234,2.46283,3.30695,1.94964
1,18ss,129.191,160.698,222.142,19.8464,3.46652,3.78687
1,18ss,138.46,153.677,223.02,16.1506,3.38824,3.48
1,18ss,127.095,155.926,226.369,3.875,5.89583,5.25
1,18ss,135.011,153.262,227.555,5.37489,3.37578,3.21704
1,18ss,130.561,145.988,232.112,4.35345,6.11207,3.06034
1,18ss,135.597,152.522,233.219,5.36364,3.72727,1.54545
1,18ss,113.357,169.363,227.933,5.8784,3.57456,2.74878
1,18ss,114.596,5.34619,234.569,2.67883,2.11503,2.22281
1,18ss,120.366,21.9455,233.129,5.0461,3.40426,7.08865
1,18ss,103.765,23.6514,239.707,3.65517,1.68966,3.51724
1,18ss,138.228,22.6835,232.875,6.07659,5.04158,12.4267
1,18ss,128.884,23.0574,237.38,3.72883,8.1371,13.4536
1,18ss,121.189,56.4596,223.67,40.8094,6.91318,32.7151
1,18ss,104.198,49.2858,224.588,9.88605,10.2584,27.0556
1,18ss,100.058,65.1319,224.094,8.97717,18.6439,22.2718
1,18ss,118.547,69.1889,224.222,32.7134,6.37275,34.4211
1,18ss,115.554,63.6584,226.451,35.8917,7.18027,30.5437
1,18ss,104.7,67.2174,225.278,17.2789,13.305,24.9258
1,18ss,98.552,70.7974,225.086,9.18499,18.8234,19.3006
1,18ss,111.044,61.9367,226.584,26.4687,7.99039,28.8349
1,18ss,105.314,62.0375,227.373,14.7356,15.094,25.2453
1,18ss,114.8,69.2303,226.151,37.2092,6.86808,38.3411
1,18ss,116.878,56.4326,227.704,28.7371,6.74797,21.0752
1,18ss,99.4093,56.3081,228.984,7.69808,12.0606,18.5945
1,18ss,105.392,56.5068,228.149,14.773,13.5619,33.346
1,18ss,98.0946,62.4509,227.77,7.98195,21.7696,16.369
1,18ss,108.391,57.1961,229.06,17.6382,8.84528,24.1182
1,18ss,106.882,50.6498,231.559,14.0711,9.10166,25.5749
1,18ss,113.78,54.6727,231.319,27.5471,10.3341,27.3731
1,18ss,102.811,56.1938,232.504,11.1287,9.91116,17.0603
1,18ss,120.043,63.1989,229.756,32.5028,7.0212,36.8367
1,18ss,138.586,53.4142,221.038,30.1281,5.50222,22.6461
1,18ss,132.648,59.2424,222.937,35.0658,7.47843,24.1516
1,18ss,122.629,61.5109,223.056,36.2825,6.8376,35.731
1,18ss,144.484,61.849,223.256,29.8779,4.70746,13.1558
1,18ss,140.108,64.0999,222.768,29.8042,5.64624,20.2825
1,18ss,126.216,55.7803,224.586,35.8275,10.5963,32.3924
1,18ss,142.248,48.1607,225.472,26.6841,3.78239,11.4261
1,18ss,145.093,67.7747,223.994,47.4565,5.64437,27.0123
1,18ss,129.973,71.5058,224.114,38.4173,8.00208,46.8794
1,18ss,133.028,53.0195,225.546,30.5482,6.72835,25.3203
1,18ss,136.682,62.6853,227.652,31.7238,8.54145,20.9537
1,18ss,142.448,69.0069,227.532,38.7626,5.68297,22.3202
1,18ss,124.722,53.8081,229.385,35.7716,6.64276,28.8336
1,18ss,123.363,67.2632,228.264,31.3826,5.98886,27.8794
1,18ss,126.136,71.3067,228.868,28.1975,6.54769,35.1237
1,18ss,134.022,68.3364,230.304,38.746,8.65738,31.0173
1,18ss,136.929,57.9536,231.794,34.4281,4.96038,17.5004
1,18ss,128.289,62.1001,231.214,30.8084,10.1608,21.6542
1,18ss,144.092,57.8062,234.926,19.765,3.57567,10.8852
1,18ss,139.223,63.6234,232.441,25.6365,6.67909,12.3808
1,18ss,163.424,72.035,223.333,18.9637,6.5819,20.5242
1,18ss,153.264,52.6543,223.429,18.2282,6.28961,19.2228
1,18ss,150.811,62.5246,224.025,30.13,4.22787,13.2604
1,18ss,164.973,51.9926,224.396,22.3353,5.6603,15.818
1,18ss,146.56,59.078,228.727,23.5276,3.85951,12.031
1,18ss,159.858,55.2841,227.96,16.6451,4.21494,13.3444
1,18ss,164.894,59.3486,228.773,22.0136,7.33625,24.9512
